"","LPERMNO","mean_lv_bv","mean_lv_mv","NI_annualgr","NI_annualgeomean","CF_annualgr","CF_annualgeomean"
"6509",91495,0.242194308891631,0.375113039031933,-0.26980222574546,-0.186270396455226,-1.13900835419676,-1.2934161362723
"6510",91497,3.18404701472849e-05,NA,2.0204771502668,-6.25753536797448,0.914499254439417,1.8833946413151
"6511",91498,0,0,-1.7584835447024,4.3827853986714,-1.65180724443226,0.139399612602961
"6512",91499,0.439290881672941,125.70093250919,-3.71447771344714,400449.450373273,0.132305458724538,2.0774803156823e-06
"6513",91500,0.0422595026039205,0.223838501819098,0.0237085633041101,5.32572433488338,-0.621771466539383,16.6472235837314
"6514",91501,NA,NA,1.0409727426166,93.5971452550737,-5.59144793027757,-0.118399390418088
"6515",91502,0.170310536637371,NA,-1.58281219951691,-0.040481843442887,-0.78394585285662,1.69389188312735
"6516",91503,0,0,0.0635843308043192,0.194508350766034,-1.63623362708756,9266.28661556504
"6517",91507,0.385854502236863,24372.0414377289,14.1457775785768,5117.63596730515,-0.233952194811069,-941.782458400476
"6518",91508,NA,NA,2.1280541617446,-0.538938227106014,-4.94297150886175,-9.87421357468459
"6519",91510,NA,NA,0.114125357382147,0.0245149880516497,-30.2680413900196,0.0877914951988904
"6520",91511,0.551695493889396,440.032282833071,-0.962821984678311,31510.3849606907,-1.58680803104614,-0.338087093995497
"6521",91514,NA,NA,0.158867640176965,17204.928106049,0.792984906293613,292662675.564241
"6522",91515,0.169840451487233,NA,-2.71851963038559,-18425834.9978149,-26.690674422812,-0.00919167150286468
"6523",91516,0.368873510872933,279.69137601253,1.21805815314534,382015.895766075,-1.12313050825674,0.0612770003813088
"6524",91517,0.271601593656399,328.890314788465,-0.527750498047916,6.68155383267538,7.20838401749999,0.0267993335702913
"6525",91519,0.575699106514957,288513.20149616,2.07925097980464,5744.12892513664,0.0119468713907231,0.708867168349681
"6526",91522,0.190309681193639,NA,0.601700758234622,-1.57681494747299,-3.5747709530699,1347198.4002264
"6527",91525,NA,NA,NA,NA,NA,NA
"6528",91527,0.131057681455466,NA,-44.1643444614408,9.23516949152542,-51101.0362318842,-1.07246376811594
"6529",91531,0.25904468312439,197.752320091916,-1.74050050064604,0.0375900320895407,2.43175051193642,1.57175261761699
