"","PERMNO","error","Fstat","df","pvalue","sig90","sig95","sig99"
"2414",45655,0.330222372643209,0.713955576003396,6,0.569468059470577,0,0,0
"2415",45728,0.396856592164396,0.426869672743813,6,0.462254069814454,0,0,0
"2416",45751,0.179878739303218,0.804512744532633,6,0.595702062609286,0,0,0
"2417",45794,NA,NA,0,NA,NA,NA,NA
"2418",45890,NA,NA,NA,NA,NA,NA,NA
"2419",45891,NA,NA,0,NA,NA,NA,NA
"2420",45911,0.715302140407253,0.792358572601288,6,0.592340008107173,0,0,0
"2421",45955,NA,NA,0,NA,NA,NA,NA
"2422",46042,0.462456730903808,1.02720761648951,7,0.655441050346526,0,0,0
"2423",46068,0.0968223067771531,5.53943056255299,6,0.94322156364044,1,0,0
"2424",46076,NA,NA,NA,NA,NA,NA,NA
"2425",46077,0.371349013842731,0.477873511179263,6,0.484771014509727,0,0,0
"2426",46181,0.547410883620417,0.227832552313894,2,0.319791278286296,0,0,0
"2427",46229,NA,NA,0,NA,NA,NA,NA
"2428",46295,NA,NA,0,NA,NA,NA,NA
"2429",46340,0.434183244405069,2.82104733128605,6,0.855961630307482,0,0,0
"2430",46392,0.505175799881758,0.641764905818206,6,0.54638115258329,0,0,0
"2431",46463,0.258316461552372,2.04036079374837,6,0.796904832329333,0,0,0
"2432",46578,0.128732505275045,1.02823605994167,6,0.650295316436448,0,0,0
"2433",46674,0.17373962471221,1.56357251290741,6,0.74230222939095,0,0,0
"2434",46690,0.411983180614742,0.503970849204443,6,0.495597787045358,0,0,0
"2435",46703,0.330331454659946,1.47726027222167,6,0.730146189730819,0,0,0
"2436",46834,1.86269129145415,0.150320854681786,6,0.288389886359286,0,0,0
"2437",46877,0.128302782702496,3.54550118032707,6,0.891290519872589,0,0,0
"2438",46886,0.352900437111982,0.54825227866132,6,0.513014352812557,0,0,0
"2439",46907,0.67755264672707,0.435255604136895,1,0.371271054873141,0,0,0
"2440",46922,1.04615154029272,3.57237696982157,6,0.892358827737576,0,0,0
"2441",46923,0.366175620962555,2.04747755005888,6,0.797587703697462,0,0,0
"2442",46931,NA,NA,0,NA,NA,NA,NA
"2443",46950,0.817245058559238,0.239964486349379,1,0.289982932280273,0,0,0
"2444",47002,0.236009674330475,2.36953251792333,6,0.825351092278601,0,0,0
"2445",47088,0.184588255910324,0.952868828262545,4,0.615737149219461,0,0,0
"2446",47133,NA,NA,0,NA,NA,NA,NA
"2447",47175,NA,NA,0,NA,NA,NA,NA
"2448",47205,0.354588212369771,0.661995429091955,2,0.498682172347271,0,0,0
"2449",47248,NA,NA,NA,NA,NA,NA,NA
"2450",47255,NA,NA,0,NA,NA,NA,NA
"2451",47379,0.376305458089752,0.773623740014592,6,0.587064841649723,0,0,0
"2452",47387,0.409719994928802,0.554433668473222,6,0.515356675316526,0,0,0
"2453",47423,0.168699980562489,3.20535885192508,2,0.784716873859212,0,0,0
"2454",47466,0.46881381928882,0.593830858788021,6,0.529812737023181,0,0,0
"2455",47511,0.268814469841168,1.19082483923404,6,0.682965864036537,0,0,0
"2456",47571,0.422734758241161,2.0658659177907,6,0.799336924925507,0,0,0
"2457",47619,1.1803453047944,0.321053663498824,6,0.408476360523011,0,0,0
"2458",47626,0.341979495406771,0.510442077858228,6,0.498215618161283,0,0,0
"2459",47642,NA,NA,0,NA,NA,NA,NA
"2460",47677,0.522088698878841,0.176001675560443,6,0.31056146350044,0,0,0
"2461",47706,0.28761859398449,4.28777201623775,6,0.916193030605254,1,0,0
"2462",47715,0.377731162388397,3.40531291435094,6,0.885473995363498,0,0,0
"2463",47723,0.564452281748379,0.808216470456386,2,0.536473849655859,0,0,0
"2464",47730,0.197105446563521,1.72237024567015,6,0.762645169024369,0,0,0
"2465",47861,0.35810573205416,0.444979843155144,6,0.470467726239195,0,0,0
"2466",47888,NA,NA,0,NA,NA,NA,NA
"2467",47896,0.223178773849912,1.1546371454266,6,0.676118540149138,0,0,0
"2468",47941,0.479431423203432,0.896682352601533,6,0.619768102999895,0,0,0
"2469",47984,NA,NA,0,NA,NA,NA,NA
"2470",48020,0.957110186470677,7.10218777824476,2,0.883330405920306,0,0,0
"2471",48072,0.329152237331429,0.724349676913771,6,0.572624557933995,0,0,0
"2472",48101,NA,NA,0,NA,NA,NA,NA
"2473",48144,0.805947369645435,0.507416461152979,6,0.49699486598818,0,0,0
"2474",48267,0.237654532243142,4.91827158175328,3,0.886716289215154,0,0,0
"2475",48274,NA,NA,0,NA,NA,NA,NA
"2476",48291,2.20808207514448,0.0639060372746007,6,0.191136508106046,0,0,0
"2477",48347,0.960598772252568,1.82066812872526,6,0.77407809483071,0,0,0
"2478",48389,0.195635133989526,0.653472773144422,3,0.521968367486494,0,0,0
"2479",48486,0.383486094370675,1.68165857277949,6,0.757661250285265,0,0,0
"2480",48506,0.167952984660628,10.7406334630143,6,0.983120361120159,1,1,0
"2481",48514,NA,NA,0,NA,NA,NA,NA
"2482",48523,0.210632109983142,0.498034310377862,6,0.493173355069753,0,0,0
"2483",48531,0.0957895988695888,0.701584044090458,6,0.565658400316263,0,0,0
"2484",48653,0.347067980711948,0.605607860047795,6,0.533982918322366,0,0,0
"2485",48697,NA,NA,0,NA,NA,NA,NA
"2486",48725,0.311219088315955,0.350650661716171,6,0.424635520346781,0,0,0
"2487",48901,NA,NA,0,NA,NA,NA,NA
"2488",48961,0.216142727718347,9.81857717655087,6,0.979764634695835,1,1,0
"2489",49015,0.463846823458977,0.664701792562289,6,0.553946667078582,0,0,0
"2490",49138,0.930470004207824,0.790250845057214,6,0.591752205454773,0,0,0
"2491",49154,0.167756873649455,2.39786635792351,6,0.827529240773522,0,0,0
"2492",49227,NA,NA,NA,NA,NA,NA,NA
"2493",49322,0.631652990589607,0.832560144575546,6,0.603286253073158,0,0,0
"2494",49330,0.245996405007261,0.456525165065079,6,0.475575579261198,0,0,0
"2495",49373,0.261618689124199,1.98706527228744,6,0.791684093577385,0,0,0
"2496",49429,1.11979970424368,1.53217240489472,6,0.737975910674661,0,0,0
"2497",49488,0.636967778836446,0.977416260323312,6,0.638985342411903,0,0,0
"2498",49656,0.170518711830049,3.82426422882988,6,0.901703377815587,1,0,0
"2499",49680,0.225014166909826,0.421082993905149,6,0.459575682526634,0,0,0
"2500",49744,0.18193092593377,2.2879176560314,6,0.818854642068283,0,0,0
"2501",49905,0.602906809654966,1.98818793062915,6,0.791796048477971,0,0,0
"2502",49955,NA,NA,0,NA,NA,NA,NA
"2503",49971,0.159009441317946,1.58618529665142,5,0.736536057837549,0,0,0
"2504",50017,0.434103352541267,1.35367600743263,6,0.711191003806384,0,0,0
"2505",50091,NA,NA,0,NA,NA,NA,NA
"2506",50092,NA,NA,NA,NA,NA,NA,NA
"2507",50227,NA,NA,0,NA,NA,NA,NA
"2508",50243,0.467345486099764,0.301636439625781,6,0.397317185094558,0,0,0
"2509",50278,0.227291028508492,0.738873063039281,3,0.546772463089862,0,0,0
"2510",50286,2.98168237918789,0.117941411728664,6,0.257008068618533,0,0,0
"2511",50550,0.392631744004334,1.69258725163659,6,0.759014094131916,0,0,0
"2512",50585,0.0985972633360518,1.37021793630352,6,0.713842321986588,0,0,0
"2513",50606,0.346038303905641,1.68916296179192,6,0.758591401387145,0,0,0
"2514",50614,0.308741567936321,1.29427646706093,4,0.681217541560597,0,0,0
"2515",50623,0.207905446152102,1.44111086602363,6,0.724799639889718,0,0,0
"2516",50666,NA,NA,NA,NA,NA,NA,NA
"2517",50702,0.315018163646705,3.7626661522997,6,0.89952457411091,0,0,0
"2518",50788,0.340562276788929,0.752038537586427,6,0.580842748116388,0,0,0
"2519",50789,0.135208621128423,1.03969675350366,6,0.652768095226346,0,0,0
"2520",50876,0.192438338218658,0.752136282791015,6,0.580871281490654,0,0,0
"2521",50905,NA,NA,NA,NA,NA,NA,NA
"2522",50906,NA,NA,0,NA,NA,NA,NA
"2523",50948,0.319366199098265,0.727021685441915,6,0.573429585825225,0,0,0
"2524",50972,1.87021474399629,0.533028893720181,6,0.507155300261996,0,0,0
"2525",51043,NA,NA,0,NA,NA,NA,NA
"2526",51086,0.618257880636212,1.41187750182802,6,0.720359050785937,0,0,0
"2527",51087,0.329514329330711,1.5498183915976,2,0.660750252230972,0,0,0
"2528",51131,0.361681533095405,1.6557409508179,6,0.754408019615285,0,0,0
"2529",51263,0.548226620600637,0.694235436798552,6,0.563367820134739,0,0,0
"2530",51369,0.687193639454044,0.0976114159311233,6,0.234711551315449,0,0,0
"2531",51377,NA,NA,0,NA,NA,NA,NA
"2532",51423,0.263286974873045,1.5915860320579,5,0.73724680475969,0,0,0
"2533",51457,0.0453297570587514,133.24341385446,1,0.944985864137859,1,0,0
"2534",51530,NA,NA,0,NA,NA,NA,NA
"2535",51596,NA,NA,NA,NA,NA,NA,NA
"2536",51625,0.187592619932149,6.30715479945004,6,0.954183864308299,1,1,0
"2537",51633,0.11587036025742,2.78319313211888,6,0.853698280933743,0,0,0
"2538",51692,3.89714258494999,0.986807268889355,6,0.641118906000902,0,0,0
"2539",51706,NA,NA,0,NA,NA,NA,NA
"2540",51829,0.400959750163284,1.13228394189174,6,0.671773580133957,0,0,0
"2541",51925,0.52190008384164,1.21835047108693,6,0.688025601038233,0,0,0
"2542",51933,NA,NA,NA,NA,NA,NA,NA
"2543",51960,0.755312125622999,1.57932395459285,6,0.744432686839577,0,0,0
"2544",51984,NA,NA,0,NA,NA,NA,NA
"2545",52038,0.129284053386049,2.87502508871751,6,0.859105219573582,0,0,0
"2546",52090,0.0909286667734634,3.16162264933856,6,0.874292351889898,0,0,0
"2547",52214,0.231625711214234,0.985141508170212,1,0.497617475134153,0,0,0
"2548",52230,0.174333848167881,2.95621591123683,6,0.86365600317171,0,0,0
"2549",52231,NA,NA,0,NA,NA,NA,NA
"2550",52250,0.34035202854163,1.15739304552635,6,0.676648029896161,0,0,0
"2551",52329,0.53333347976224,0.657527638823336,6,0.551604349551743,0,0,0
"2552",52337,1.45686406174823,0.212040806269737,6,0.338610523218323,0,0,0
"2553",52396,0.389886441079785,0.332357305253196,6,0.414763666707018,0,0,0
"2554",52425,0.103630269664036,2.90748160491635,6,0.860949476870899,0,0,0
"2555",52476,0.236095178509151,0.360128849258922,6,0.429610748673356,0,0,0
"2556",52484,0.396695605010988,1.4105197570647,2,0.643101173360478,0,0,0
"2557",52695,0.210247687298253,0.695620571592971,6,0.563801167901994,0,0,0
"2558",52708,0.349728608807267,3.00905588047726,6,0.866508301181578,0,0,0
"2559",52716,0.388818683468985,0.452631721540099,6,0.473863916020776,0,0,0
"2560",52792,NA,NA,0,NA,NA,NA,NA
"2561",52813,0.458744674395089,1.01688658719329,6,0.647818891354051,0,0,0
"2562",52840,NA,NA,NA,NA,NA,NA,NA
"2563",52898,0.170296356947191,0.412288679227957,6,0.455453346834566,0,0,0
"2564",52919,NA,NA,0,NA,NA,NA,NA
"2565",52936,0.215001372943392,0.120288015924703,6,0.259437350272063,0,0,0
"2566",52978,0.251876390317899,0.762913749697873,6,0.583997298434169,0,0,0
"2567",53015,NA,NA,0,NA,NA,NA,NA
"2568",53065,0.317141765356315,2.55766798856978,6,0.839123033910544,0,0,0
"2569",53074,0.241330936930792,1.15035589923727,6,0.675293311960099,0,0,0
"2570",53082,NA,NA,0,NA,NA,NA,NA
"2571",53110,0.333638926224883,0.895802362495332,6,0.619549555267339,0,0,0
"2572",53197,0.91417403898558,0.369563798626939,6,0.434473297964892,0,0,0
"2573",53225,0.272387130579956,1.94987693201175,6,0.787925966765048,0,0,0
"2574",53373,1.22317670926109,0.846703732630722,6,0.607021616535217,0,0,0
"2575",53480,0.535121026623662,0.315359602246385,3,0.386370719873132,0,0,0
"2576",53575,0.785493003189776,0.231820913136478,3,0.336884792175583,0,0,0
"2577",53604,0.135453142711777,1.79986810763929,6,0.771726880056329,0,0,0
"2578",53612,NA,NA,0,NA,NA,NA,NA
"2579",53613,1.39702762469619,0.406582832435169,6,0.452744486573975,0,0,0
"2580",53640,0.330502684860361,0.556247082739379,6,0.516039893303042,0,0,0
"2581",53656,NA,NA,NA,NA,NA,NA,NA
"2582",53663,0.085642669064239,3.5956923176444,4,0.869193617750124,0,0,0
"2583",53727,0.336564276314426,0.333172511314569,2,0.377886307384565,0,0,0
"2584",53815,NA,NA,0,NA,NA,NA,NA
"2585",53831,NA,NA,0,NA,NA,NA,NA
"2586",53859,0.218685161337876,0.409432439013701,6,0.454100756494116,0,0,0
"2587",53866,0.218718166433856,3.03857617315313,4,0.84373849491712,0,0,0
"2588",54084,0.315085113813702,1.26164067758377,3,0.656882438486242,0,0,0
"2589",54114,0.290371722492237,1.60141937668125,6,0.747377548954083,0,0,0
"2590",54148,0.712123698102688,0.753558347971994,6,0.58128603198067,0,0,0
"2591",54181,NA,NA,0,NA,NA,NA,NA
"2592",54199,0.197366148038,4.60835106226481,6,0.924551537961171,1,0,0
"2593",54244,0.667997984773156,0.145403607498754,6,0.283895184653297,0,0,0
"2594",54253,0.370217156455062,0.202917932127855,6,0.331804448583627,0,0,0
"2595",54279,NA,NA,0,NA,NA,NA,NA
"2596",54341,NA,NA,0,NA,NA,NA,NA
"2597",54391,NA,NA,NA,NA,NA,NA,NA
"2598",54439,NA,NA,0,NA,NA,NA,NA
"2599",54578,0.286220072833183,3.18650005229016,6,0.875501448336885,0,0,0
"2600",54579,NA,NA,0,NA,NA,NA,NA
"2601",54594,0.251019264839345,1.91454660411493,6,0.784264284693355,0,0,0
"2602",54624,NA,NA,0,NA,NA,NA,NA
"2603",54675,0.270337563259793,0.696048866323562,6,0.563935011678843,0,0,0
"2604",54704,0.599516929260239,1.06127006078153,6,0.657348389685573,0,0,0
"2605",54798,NA,NA,0,NA,NA,NA,NA
"2606",54818,0.305724169269051,0.164512656458784,3,0.287770897705077,0,0,0
"2607",54827,0.456008231250726,0.316429644476688,2,0.369597499673745,0,0,0
"2608",54974,NA,NA,NA,NA,NA,NA,NA
"2609",55001,0.265043422845729,1.73754747381709,6,0.764464797388462,0,0,0
"2610",55029,0.145727155387799,2.1809128074876,6,0.80980460094223,0,0,0
"2611",55212,0.654602022380153,0.620115494622628,6,0.539029410845191,0,0,0
"2612",55213,0.710514085959404,5.99637125574161,6,0.950124587678448,1,1,0
"2613",55511,0.200171336785905,3.12510782181302,6,0.87248794309689,0,0,0
"2614",55546,NA,NA,0,NA,NA,NA,NA
"2615",55597,0.424898735531724,1.42117083319327,6,0.721782311793918,0,0,0
"2616",55634,1.08375983512066,0.849928043532293,6,0.607865029485792,0,0,0
"2617",55678,0.507706767053793,0.102159779831001,6,0.239910713143262,0,0,0
"2618",55781,NA,NA,NA,NA,NA,NA,NA
"2619",55862,NA,NA,0,NA,NA,NA,NA
"2620",55976,0.190163955592915,0.687518243547874,6,0.561255673253376,0,0,0
"2621",55984,0.345981137436778,1.62072008105695,6,0.749909100471028,0,0,0
"2622",55993,0.429086241463517,0.813815278228248,6,0.598244106458249,0,0,0
"2623",56040,0.363762481606318,0.442866516519478,2,0.425781271593342,0,0,0
"2624",56063,NA,NA,0,NA,NA,NA,NA
"2625",56143,NA,NA,NA,NA,NA,NA,NA
"2626",56223,1.39875653105156,0.238764707348175,6,0.357555222799116,0,0,0
"2627",56232,NA,NA,0,NA,NA,NA,NA
"2628",56274,0.191454118532786,1.10149874554238,6,0.6656392306415,0,0,0
"2629",56573,0.271245293748027,0.455154677055158,6,0.474974322975415,0,0,0
"2630",56602,NA,NA,0,NA,NA,NA,NA
"2631",56611,0.237154915742482,1.83145269493437,5,0.766078958412165,0,0,0
"2632",56710,0.504805494713525,0.108732890182385,6,0.24720069722438,0,0,0
"2633",56741,NA,NA,0,NA,NA,NA,NA
"2634",56777,0.191983010230042,25.7661905517214,2,0.963311970950434,1,1,0
"2635",56784,NA,NA,NA,NA,NA,NA,NA
"2636",56822,0.150202663870249,2.47239713184398,6,0.833078435645028,0,0,0
"2637",56856,0.319142402066878,2.27302929568576,6,0.817632649587904,0,0,0
"2638",56937,NA,NA,0,NA,NA,NA,NA
"2639",56945,0.427679503919086,0.311505635108629,4,0.393479844352115,0,0,0
"2640",56952,NA,NA,NA,NA,NA,NA,NA
"2641",57007,0.150824820267151,6.08545068809274,6,0.951336214842875,1,1,0
"2642",57015,NA,NA,0,NA,NA,NA,NA
"2643",57104,NA,NA,0,NA,NA,NA,NA
"2644",57154,0.294885631327764,0.933432448757236,6,0.62871592916609,0,0,0
"2645",57251,NA,NA,NA,NA,NA,NA,NA
"2646",57330,0.242989007129347,1.14669761180133,4,0.655445946525082,0,0,0
"2647",57437,NA,NA,0,NA,NA,NA,NA
"2648",57446,NA,NA,0,NA,NA,NA,NA
"2649",57509,0.497635188454336,1.02553730205001,5,0.642321880187786,0,0,0
"2650",57534,0.333079082118841,2.42625830657083,5,0.819948047784173,0,0,0
"2651",57568,0.141369503091365,0.869001612504642,6,0.612793814963988,0,0,0
